gender,age,survey_score,days_member,days_last_visit
F,32,8,294,6
M,42,3,271,50
M,65,3,223,94
F,53,1,30,30
M,42,4,168,26
F,42,3,215,22
M,36,8,110,4
M,24,8,249,4
F,22,8,190,4
F,19,8,30,1
F,41,4,144,12
F,42,4,110,68
F,42,4,192,42
M,47,3,257,11
M,43,3,224,44
M,32,7,150,14
F,65,1,235,48
F,44,3,301,65
M,46,3,230,22
M,41,2,214,28
M,57,2,81,56
F,33,8,272,10
F,56,2,164,112
F,60,2,203,56
F,56,1,243,58
F,25,9,359,2
M,51,2,177,105
M,59,2,97,97
M,35,7,310,6
M,40,3,203,47
M,54,2,168,124
M,29,9,45,4
M,48,4,222,37
F,26,8,30,2
F,54,1,218,127
F,51,3,174,105
F,47,2,71,26
M,40,3,246,25
F,33,9,279,3
F,37,8,131,13
M,39,3,137,22
F,35,7,56,13
M,37,8,359,1
M,46,2,30,30
F,45,3,30,23
F,32,8,199,8
M,32,8,279,9
M,24,8,165,2
M,55,1,112,112
M,35,9,67,5
M,54,2,73,73
M,34,8,179,5
F,59,2,30,30
M,55,2,176,68
M,37,8,283,14
M,29,7,159,2
F,32,9,364,9
M,56,1,30,30
M,45,3,242,14
F,50,3,365,29
M,42,3,199,53
F,43,4,255,38
M,40,2,137,35
M,33,8,193,13
M,36,8,85,13
F,18,8,169,3
F,35,8,145,11
F,24,9,161,3
F,43,2,361,43
F,33,8,30,17
M,45,3,157,56
M,65,2,214,24
F,57,2,266,70
M,61,1,189,125
F,45,3,106,17
F,22,8,136,4
M,33,9,274,2
M,57,2,216,61
F,27,9,183,0
M,60,1,362,13
M,34,9,237,12
M,45,3,30,13
M,40,4,246,44
F,45,3,85,41
F,58,2,30,30
M,59,1,144,72
M,42,4,307,44
M,56,3,293,44
F,37,9,143,5
F,38,7,113,13
F,36,3,202,47
M,31,8,30,5
F,32,8,96,7
M,57,2,139,20
F,31,8,264,0
F,24,8,150,1
F,59,1,101,89
F,48,2,122,21
F,26,7,121,2
F,41,4,30,18
F,27,9,272,3
M,44,3,84,70
M,25,10,328,0
M,38,4,204,29
M,61,2,300,29
F,44,3,178,33
F,28,8,205,0
F,32,8,362,4
M,35,7,213,8
F,39,3,365,28
M,24,9,136,3
F,31,7,181,14
M,34,8,140,14
F,34,8,267,16
F,20,7,30,0
M,47,3,30,30
M,45,3,254,3
F,48,4,59,33
M,45,3,204,42
F,36,9,185,7
F,38,8,250,7
M,60,3,175,36
F,39,7,262,13
F,43,2,93,45
F,39,2,76,33
F,47,3,308,48
M,63,1,99,99
F,34,8,104,9
M,33,9,176,21
M,33,8,217,7
F,41,3,30,12
M,65,2,30,30
M,41,4,361,55
M,32,8,76,12
F,49,3,345,53
M,33,9,30,4
F,30,9,170,5
F,44,3,158,24
F,51,1,205,102
F,43,2,156,50
M,40,3,30,27
F,53,3,60,21
M,58,1,142,142
F,51,2,327,101
F,20,8,82,3
M,48,3,50,47
M,51,2,147,147
F,36,8,30,2
F,20,8,30,1
M,42,3,171,36
M,55,2,30,30
F,30,8,272,9
F,42,4,130,25
F,26,7,134,0
F,47,2,281,23
M,43,3,237,52
M,55,2,286,145
M,39,8,331,16
M,42,2,223,44
M,26,6,205,2
M,36,8,272,1
M,32,8,241,19
M,32,8,132,12
M,33,7,114,13
F,37,8,30,0
F,27,8,235,2
M,43,3,274,53
M,41,4,30,30
M,57,2,83,83
F,36,3,30,19
F,44,4,222,31
M,35,8,67,14
F,27,8,120,2
F,60,2,128,68
F,36,3,67,3
F,61,1,162,89
F,46,4,309,33
F,48,2,50,50
M,49,3,138,64
M,60,1,30,30
F,40,2,65,34
F,35,8,321,1
F,57,3,306,115
F,30,7,224,11
F,28,8,217,1
F,36,8,158,15
F,48,3,186,11
M,32,9,160,8
M,33,8,237,9
M,52,1,263,79
F,29,7,30,0
M,40,3,120,43
M,42,3,77,36
M,24,10,105,6
M,37,3,230,69
F,28,8,212,2
M,52,1,134,48
F,53,1,65,65
F,44,3,149,36
F,21,7,262,1
F,39,3,30,30
M,36,2,325,4
M,41,3,251,24
M,57,3,329,82
F,23,8,74,1
M,38,8,196,10
M,60,2,52,52
F,28,7,281,1
M,47,3,220,39
F,60,1,201,49
M,39,2,315,50
M,19,8,89,1
F,46,3,242,16
F,59,2,136,106
F,41,3,225,49
F,26,9,171,5
F,56,2,205,60
M,39,2,114,6
M,22,6,187,3
F,45,3,129,66
F,38,3,259,49
F,54,3,314,31
F,37,8,243,11
M,48,3,190,70
M,41,3,279,44
M,45,3,307,0
M,41,3,173,41
M,22,8,325,3
M,21,8,227,1
F,63,2,30,30
F,58,2,117,99
F,59,2,82,82
M,52,1,297,87
F,28,7,210,4
F,54,1,81,48
M,24,7,155,1
M,39,9,145,9
F,22,8,144,1
F,32,8,183,11
F,35,9,288,10
M,57,2,362,67
F,41,4,143,56
M,28,7,172,3
M,62,2,295,129
F,34,8,317,16
F,60,2,351,99
M,40,2,100,36
F,51,2,276,16
M,35,8,196,1
M,43,3,252,4
M,24,8,208,3
M,43,3,139,47
M,34,8,228,9
M,57,2,89,88
M,33,8,290,6
F,35,8,312,0
M,64,2,242,41
F,47,4,365,42
F,37,8,247,12
M,45,2,174,50
F,34,9,72,2
F,41,3,191,30
F,58,2,174,76
M,44,4,194,27
M,60,2,221,147
M,38,8,60,13
M,37,8,216,17
F,28,8,258,0
M,27,9,317,3
M,48,3,58,19
M,40,3,264,58
M,35,9,119,19
F,49,3,30,30
F,55,3,256,76
M,57,3,205,119
M,47,3,314,29
M,50,4,276,44
F,36,3,252,2
M,44,2,131,61
F,23,8,162,0
F,45,3,304,49
F,50,3,30,18
M,47,3,30,30
F,39,8,212,3
M,59,1,119,115
M,39,7,44,13
F,44,4,162,42
M,26,8,43,1
M,30,8,160,14
M,44,3,316,19
F,44,3,365,60
M,55,2,353,53
M,65,2,227,104
F,41,3,151,5
M,35,7,149,11
M,26,9,218,2
M,45,3,181,46
F,63,1,97,97
F,47,2,91,13
M,45,4,319,40
M,24,9,206,2
M,55,2,362,120
M,45,3,205,45
M,31,8,216,10
M,46,3,185,53
M,49,3,146,56
M,39,2,253,51
M,62,2,100,100
F,51,2,149,83
M,41,3,361,36
F,46,3,76,17
F,45,3,211,35
M,44,2,239,39
M,58,2,191,74
M,27,9,115,3
F,44,3,252,53
M,32,7,293,23
M,35,9,205,27
M,43,3,309,38
M,40,3,354,31
M,42,4,197,42
F,30,8,190,14
M,27,7,188,0
M,48,2,242,20
F,20,9,328,1
M,42,4,287,19
M,41,4,99,32
M,25,9,176,1
M,36,7,254,24
M,34,8,332,10
M,24,8,118,4
F,39,9,103,9
M,38,4,275,4
F,39,3,185,9
F,54,2,109,109
M,51,2,238,58
M,29,9,326,0
M,35,9,186,10
M,38,3,143,51
M,33,8,157,14
F,33,7,250,8
M,57,2,271,32
F,35,8,302,5
F,39,8,306,12
M,41,3,161,52
M,61,3,238,44
F,22,7,245,0
F,57,1,30,30
M,37,4,280,46
M,60,2,142,142
F,43,3,235,63
F,44,3,195,26
F,26,9,344,1
M,23,8,134,1
F,51,2,219,100
F,33,9,83,13
F,47,2,250,33
M,38,3,315,33
F,37,7,40,18
M,27,8,162,1
F,24,8,323,0
F,32,8,169,12
M,49,3,143,50
F,23,8,326,6
M,49,2,114,36
M,33,9,105,14
F,34,8,226,5
M,40,4,264,42
M,59,2,309,48
M,57,2,256,134
M,55,2,344,119
M,20,8,224,0
F,27,7,30,0
F,43,3,151,39
M,59,1,318,115
M,65,1,137,137
M,51,2,234,23
M,38,3,30,25
F,56,2,171,105
M,57,2,30,30
F,35,8,364,10
F,52,1,224,66
M,45,3,261,29
M,59,1,115,73
M,59,2,173,157
F,60,3,113,101
F,43,3,170,38
M,35,8,146,16
F,41,2,333,63
F,44,3,30,30
F,39,3,139,48
M,33,7,81,14
M,40,3,251,42
M,38,3,49,49
M,43,3,170,17
F,65,1,30,30
M,23,8,206,4
M,58,2,189,147
F,38,2,220,47
F,45,3,183,39
F,39,9,253,9
M,21,7,111,3
F,47,3,268,21
F,30,9,187,14
F,40,4,84,59
F,37,8,30,10
F,45,4,144,67
F,40,3,219,34
M,32,10,30,12
F,43,3,140,16
M,34,9,129,8
M,24,8,169,0
F,35,8,221,7
M,26,8,363,2
M,35,7,30,13
M,35,8,275,9
M,39,9,234,9
M,50,4,259,0
M,58,2,93,93
M,44,4,280,21
M,23,8,32,1
M,49,3,169,45
F,48,3,120,1
F,20,8,227,4
M,55,1,287,87
F,49,3,83,32
F,43,4,235,25
M,42,2,361,26
F,42,3,86,42
M,62,2,272,52
M,54,2,92,70
M,58,2,223,80
M,33,8,125,7
M,45,4,282,38
F,35,9,316,9
F,29,8,185,0
M,61,1,362,79
M,33,7,158,10
F,37,3,276,43
F,34,7,48,9
F,32,8,75,9
M,45,3,51,17
F,45,4,219,20
F,29,8,89,2
M,42,3,263,54
F,37,8,244,3
F,63,2,30,30
M,41,2,30,30
F,65,2,217,142
F,55,3,242,105
M,42,3,347,27
F,63,2,260,51
F,39,4,270,29
F,41,4,136,38
M,43,3,187,36
M,60,2,170,159
M,39,7,182,1
M,36,9,30,12
M,37,8,125,1
M,42,3,138,28
F,38,4,30,19
F,31,8,271,15
M,56,1,271,94
F,33,8,329,6
M,37,8,279,1
M,62,2,199,56
F,32,8,364,7
F,28,8,364,3
F,43,2,88,34
M,33,8,33,11
M,44,2,168,41
M,32,8,59,5
M,24,7,92,5
M,34,9,58,7
M,47,3,249,25
M,24,8,252,3
M,29,9,258,3
M,63,1,94,64
M,36,8,181,18
M,18,8,117,6
M,61,1,225,57
F,47,3,205,39
F,46,3,273,39
F,41,4,141,71
M,36,9,218,27
M,29,8,168,0
F,43,3,170,25
M,27,8,284,1
F,35,8,181,12
M,62,2,247,108
F,49,2,169,33
F,35,8,90,12
M,62,2,220,96
F,44,4,196,49
M,57,1,312,97
M,57,2,232,75
F,64,2,30,30
M,27,8,126,2
M,26,8,111,1
M,55,2,176,69
M,48,3,187,28
F,24,8,222,0
F,19,9,88,4
F,57,2,102,102
F,47,3,261,58
M,57,1,53,45
M,51,1,30,30
M,25,8,36,3
M,65,2,252,56
F,37,8,326,7
M,26,9,336,3
F,58,2,188,26
M,58,2,362,125
F,61,2,214,97
M,45,3,41,41
F,31,8,163,20
M,47,4,44,27
F,43,3,172,32
F,46,4,223,17
F,42,4,42,27
M,20,8,273,2
M,61,1,145,82
M,21,9,132,4
M,44,3,30,28
M,32,9,249,19
M,23,8,308,2
M,35,8,36,11
M,46,3,181,23
M,30,8,30,11
F,40,3,229,39
M,56,2,299,157
F,31,9,176,9
F,39,7,251,9
M,55,2,184,3
F,50,2,365,20
F,58,1,308,89
M,59,2,229,76
F,32,8,364,18
F,24,7,143,0
M,33,7,55,19
M,54,1,72,72
F,57,2,223,116
F,35,8,160,18
M,32,8,87,2
M,56,2,172,64
F,34,8,147,8
M,63,2,179,74
F,23,9,241,2
M,36,3,210,25
F,27,8,132,0
F,55,3,135,51
F,64,2,363,137
F,22,8,136,7
M,41,3,175,26
M,46,3,331,0
M,23,8,262,0
M,33,8,178,21
F,26,10,301,5
M,50,2,30,30
F,56,2,191,127
M,34,8,190,1
F,45,2,365,17
M,56,3,211,78
M,44,3,306,45
F,43,3,300,36
M,36,8,95,18
M,43,3,167,28
F,57,1,213,111
M,40,2,166,16
M,54,2,210,80
M,34,9,235,6
M,56,2,201,99
M,39,2,84,33
F,24,8,78,2
F,20,8,166,2
F,44,3,30,19
M,43,3,182,56
F,33,8,240,11
F,26,9,293,1
M,37,8,85,13
M,30,8,85,17
F,58,1,131,118
M,32,9,164,15
M,61,1,226,84
M,32,9,153,8
M,33,8,30,11
M,38,4,248,31
M,50,4,133,13
F,34,8,364,13
M,22,8,363,2
M,37,8,280,15
F,43,3,162,4
M,57,2,30,30
M,44,3,30,30
F,42,3,102,15
M,25,8,328,3
F,57,2,241,53
F,46,2,133,52
F,28,8,208,3
M,59,3,42,42
M,33,8,136,27
M,38,4,347,22
F,32,8,175,13
M,48,3,259,28
F,59,2,289,36
M,56,3,121,121
M,35,9,138,5
M,41,2,166,41
F,23,7,160,1
M,47,4,30,17
F,24,8,364,0
F,56,2,96,96
F,33,8,364,15
F,34,9,81,6
M,38,8,193,15
F,57,1,221,112
M,45,4,91,42
F,29,7,278,4
M,33,8,243,12
M,37,3,296,0
M,31,9,223,6
M,26,7,157,1
M,29,9,169,3
M,36,8,153,1
F,51,1,246,109
F,25,8,107,3
M,41,3,126,19
F,61,2,95,95
M,65,2,237,57
F,38,3,327,32
M,39,2,202,23
M,42,3,30,30
M,62,1,305,174
M,49,3,324,43
F,38,2,158,35
M,41,4,177,17
M,35,8,85,22
M,28,7,319,0
M,61,2,192,34
M,48,3,226,15
F,43,3,30,22
M,56,2,339,116
M,36,8,190,3
M,55,2,127,49
F,47,3,193,38
M,53,1,195,125
M,52,2,202,116
F,51,2,203,74
M,65,2,95,95
M,20,9,363,4
M,49,3,361,23
M,39,3,258,38
M,21,8,181,4
M,20,8,140,1
F,57,2,344,114
M,57,2,130,80
M,58,1,362,77
M,32,7,216,8
M,20,8,180,3
F,48,2,30,30
M,24,8,217,2
M,22,8,67,3
M,32,7,65,14
M,35,7,241,6
M,28,8,87,1
M,55,2,362,101
M,28,8,86,5
M,41,3,202,53
M,34,8,250,5
F,27,8,226,3
M,51,2,30,30
F,33,8,164,11
F,34,8,204,12
M,55,2,107,107
F,26,7,163,4
M,59,3,30,30
M,24,7,30,0
M,50,4,137,34
M,51,2,362,89
M,47,4,87,3
M,40,3,141,19
M,35,7,297,21
M,23,8,227,4
M,23,7,130,0
M,49,3,30,30
F,59,1,30,30
M,61,1,204,123
M,56,2,279,132
M,48,3,82,40
M,33,7,278,4
F,51,2,180,114
M,34,8,152,18
M,61,2,263,105
M,29,8,215,3
F,45,2,30,23
M,54,1,344,149
M,40,4,77,17
F,56,2,192,119
M,53,1,70,40
M,56,2,312,67
F,36,9,314,5
M,43,3,151,33
M,54,1,30,30
F,43,4,112,10
M,39,8,113,12
F,37,8,339,11
M,36,8,238,6
M,61,1,64,64
M,30,8,112,23
F,50,2,204,21
M,34,7,52,8
M,43,3,30,30
F,60,2,193,53
M,32,8,122,13
M,42,3,103,16
F,40,3,30,30
F,48,3,254,24
M,45,4,177,35
F,62,2,215,98
M,62,2,233,156
F,26,8,136,2
F,42,3,30,30
M,43,3,350,56
M,28,9,242,4
F,20,8,134,1
F,36,7,42,0
M,22,8,63,3
M,43,3,89,27
M,40,4,208,34
M,41,2,288,42
F,31,8,364,5
M,35,8,30,10
F,53,2,169,51
F,21,8,209,0
M,44,2,345,36
M,47,2,252,10
M,29,8,44,0
M,27,7,255,3
F,51,3,181,78
F,54,2,172,123
M,41,3,237,36
F,41,2,265,64
M,50,3,248,27
F,34,9,264,13
M,47,2,286,51
M,34,7,186,3
F,40,4,144,15
M,60,1,129,104
M,37,8,173,13
M,61,1,301,22
M,51,1,81,81
M,63,1,30,30
F,53,1,164,142
F,24,7,317,0
M,58,2,229,25
F,36,8,231,8
M,60,3,107,107
F,25,9,128,1
M,50,3,76,53
F,42,3,340,17
F,24,7,306,3
M,42,3,301,31
F,54,1,188,53
F,45,3,189,24
M,35,7,30,2
F,31,8,164,16
F,63,2,114,82
M,35,9,135,7
F,35,9,119,4
M,38,4,153,25
M,50,4,121,9
M,38,9,227,25
F,39,3,150,50
M,42,4,106,31
M,20,9,250,0
M,21,7,363,4
M,29,8,181,1
F,51,2,30,30
M,34,9,162,16
F,43,3,193,51
F,32,8,232,15
F,41,3,319,25
M,54,2,275,101
M,42,2,217,40
F,39,2,164,50
F,25,7,193,1
M,37,7,237,3
M,55,2,140,40
M,25,6,50,2
F,33,9,273,10
F,32,9,98,0
F,24,8,167,0
M,30,9,335,16
F,45,3,144,54
M,25,8,202,0
F,61,3,152,109
M,47,2,30,30
M,33,7,331,4
M,32,8,31,13
F,36,8,219,9
M,19,8,203,0
F,24,8,170,2
F,25,8,174,1
M,43,3,166,59
M,59,2,326,132
F,38,4,292,28
M,34,8,204,8
F,46,3,196,49
F,42,3,51,15
M,45,3,233,50
F,24,9,30,1
F,39,3,135,34
M,49,3,169,54
M,22,8,49,5
M,44,4,83,31
M,34,8,236,1
F,30,9,135,11
M,44,3,30,3
M,41,3,189,13
M,55,2,176,160
M,54,1,30,30
F,44,3,235,21
M,42,4,183,64
F,54,1,30,30
M,42,2,63,20
F,34,7,156,12
M,33,8,137,17
M,55,1,144,144
M,42,4,52,48
M,41,3,172,63
F,61,3,212,98
M,46,4,361,36
M,44,3,332,31
M,34,7,151,11
F,45,3,243,30
F,32,8,149,14
M,61,2,158,77
M,36,8,291,8
M,58,1,166,93
F,43,3,213,35
M,41,3,169,4
F,39,3,186,4
M,37,4,100,44
M,65,1,98,98
M,39,8,220,10
M,33,7,285,6
F,60,1,115,115
M,20,8,76,2
M,26,8,330,2
M,35,8,359,15
F,40,2,283,27
F,30,8,258,13
M,37,8,105,18
F,25,8,244,4
F,18,8,30,0
F,24,8,30,3
F,27,7,30,2
F,24,7,79,4
M,53,1,362,122
F,30,8,299,6
M,57,2,131,42
M,63,2,67,67
F,49,3,145,52
F,45,3,365,22
F,20,8,176,3
F,25,7,245,1
M,28,8,363,2
M,53,2,212,114
F,50,3,310,18
F,51,2,157,84
M,35,6,83,10
M,44,2,295,28
M,50,3,130,39
M,25,8,220,2
M,63,2,153,14
F,36,9,364,0
F,55,1,209,19
F,48,3,240,25
F,61,1,30,30
F,45,4,30,30
F,24,8,286,0
M,26,7,356,2
M,36,3,88,38
M,29,8,92,3
F,41,2,194,47
F,39,9,275,14
M,59,1,325,38
F,56,2,30,30
F,65,1,49,49
M,45,4,48,38
F,21,8,190,1
M,58,1,228,94
F,61,1,186,66
M,43,3,338,31
F,59,2,107,107
F,26,7,364,3
F,26,9,282,1
M,60,2,149,113
F,34,7,291,14
M,19,9,110,0
F,43,4,168,44
M,51,2,314,89
F,25,8,30,2
M,30,7,154,9
M,46,3,30,30
M,58,2,46,14
M,58,1,200,4
M,47,3,329,43
M,24,7,92,3
M,44,3,153,67
M,20,8,307,3
M,55,1,117,37
M,35,8,179,18
M,22,9,175,2
M,57,1,214,28
M,50,4,247,47
M,33,8,133,17
F,38,7,202,11
M,45,2,158,52
F,56,2,126,80
M,39,3,88,35
F,28,10,30,1
F,48,2,207,38
F,34,8,167,12
M,33,8,359,14
M,19,9,30,1
M,32,9,30,12
M,59,1,159,49
M,57,1,219,46
F,48,2,144,53
M,29,8,180,4
F,37,7,259,17
F,26,7,111,2
M,43,4,30,30
M,51,2,30,30
F,47,3,283,39
M,57,1,33,33
M,44,3,185,57
F,36,3,292,19
F,29,8,166,1
F,33,9,135,13
M,39,2,110,68
F,44,3,149,30
M,30,7,184,11
F,35,8,167,9
F,30,9,364,0
F,53,2,72,72
M,56,1,204,62
F,64,1,195,107
F,42,4,331,13
F,42,3,314,27
F,46,3,304,47
F,29,8,89,2
M,53,2,308,64
M,42,3,287,63
F,51,2,145,96
F,42,2,227,28
F,50,3,218,24
F,32,7,318,6
F,24,8,121,1
F,45,2,150,24
M,40,3,124,40
M,40,3,30,30
M,47,3,156,36
M,65,3,124,118
M,39,2,105,9
M,59,2,133,84
F,25,8,249,2
M,35,8,56,4
M,37,3,218,37
M,48,3,30,30
